;country;region;gdp;school;life;co2
1;Algeria;Africa;7300,399902;6,716666698;72,31666565;15
2;Benin;Africa;1338,800049;3,099999905;54,73333359;1,200000048
3;Botswana;Africa;12307,40039;8,600000381;52,25;9,199999809
4;Burkina Faso;Africa;1063,400024;1,299999952;53,78333282;0,200000003
5;Burundi;Africa;349,2000122;2,483333349;48,86666489;0,100000001
6;Cameroon;Africa;1986,800049;5,650000095;50,11666489;0,75
7;Cape Verde;Africa;3052,199951;3,5;73,33333588;2,150000095
8;Central African Rep;Africa;677;3,383333445;45,93333435;0,200000003
9;Chad;Africa;1266,199951;1,5;48,56666565;0,100000001
10;Comoros;Africa;1099;2,799999952;59,78333282;0,400000006
11;Congo;Africa;3628;5,850000381;56,01666641;1,549999952
12;Congo (Dem Rep);Africa;279,7999878;3,416666746;47,51666641;0,100000001
13;Cï¿½te d'Ivoire;Africa;1539,199951;3,200000048;53,04999924;1,450000048
14;Djibouti;Africa;1972,199951;3,799999952;56,59999847;2,200000048
15;Egypt;Africa;4754,399902;5,949999809;72,33333588;8,449999809
16;Equatorial Guinea;Africa;27645,80078;5,400000095;50,06666565;32,55000305
17;Eritrea;Africa;579,5999756;3,400000095;60,01666641;0,5
18;Ethiopia;Africa;741,4000244;1,5;57,04999924;0,300000012
19;Gabon;Africa;13183,2002;7,183333397;61,15000153;5,550000191
20;Gambia;Africa;1218,400024;2,549999952;57,3666687;0,699999988
21;Ghana;Africa;1303;6,783333302;62,51666641;1,350000024
22;Guinea;Africa;957,5999756;1,600000024;52,41666794;0,550000012
23;Guinea-Bissau;Africa;967,5999756;2,299999952;46,8666687;0,600000024
24;Kenya;Africa;1405,400024;6,75;54,81666565;1,150000095
25;Lesotho;Africa;1284,400024;5,583333492;45,84999847;NA
26;Liberia;Africa;345;3,650000095;54,23333359;0,800000012
27;Libya;Africa;14497,7998;6,816666603;74,0166626;33,84999847
28;Madagascar;Africa;919,7999878;5,199999809;65,4833374;0,550000012
29;Malawi;Africa;660,4000244;3,816666603;51,31666565;0,300000012
30;Mali;Africa;1032,800049;1,833333373;50;0,200000003
31;Mauritania;Africa;1794,199951;3,533333302;57,70000076;2
32;Mauritius;Africa;10950,2002;6,966666698;72,8666687;10,70000076
33;Morocco;Africa;3802,800049;4,150000095;71,15000153;5,550000191
34;Mozambique;Africa;738,5999756;1,150000095;48,86666489;0,350000024
35;Namibia;Africa;5740,200195;7,199999809;60,58333206;5
36;Niger;Africa;620,7999878;1,349999905;53,03333282;0,25
37;Nigeria;Africa;1870;5;50,23333359;2,75
38;Rwanda;Africa;954;3,049999952;53,84999847;0,300000012
39;Sao Tome/Principe;Africa;1544,400024;4,199999809;63,83333206;2,450000048
40;Senegal;Africa;1635,599976;4,25;58,18333435;1,5
41;Seychelles;Africa;18625,80078;9,399999619;72,98332977;30,79999924
42;Sierra Leone;Africa;698,2000122;2,733333349;46;0,649999976
43;Somalia;Africa;NA;NA;50,3666687;0,100000001
44;South Africa;Africa;9175,400391;8,350000381;51,43333435;31,39999962
45;Sudan*;Africa;1838,800049;2,966666698;60,34999847;1,100000024
46;Swaziland;Africa;4468,799805;6,849999905;47,1166687;3,299999952
47;Tanzania;Africa;1151,800049;4,933333397;55,40000153;0,5
48;Togo;Africa;775;5,050000191;55,8666687;0,75
49;Tunisia;Africa;7032;6,066666603;73,91666412;8,300000191
50;Uganda;Africa;1010,599976;4,5;52,04999924;0,300000012
51;Zambia;Africa;1211,599976;6,400000095;46,59999847;0,800000012
52;Zimbabwe;Africa;NA;6,949999809;46,75;3,150000095
53;Antigua and Barbuda;Americas;17676,40039;8,899999619;72,16666412;18,29999924
54;Argentina;Americas;12274;9,083333015;75,28333282;15,64999962
55;Bahamas;Americas;NA;8,5;74,59999847;23,95000076
56;Barbados;Americas;19189;9,25;76,30000305;16,64999962
57;Belize;Americas;6208,799805;7,849999905;75,21666718;10,75
58;Bolivia;Americas;3873;8,75;65,53333282;4,150000095
59;Brazil;Americas;9081,200195;6,883333206;72,31666565;6,850000381
60;Canada;Americas;35444;11,71666718;80,53333282;62,44999695
61;Chile;Americas;12852,59961;9,5;78,71666718;13,39999962
62;Colombia;Americas;7877;7,016666412;72,91667175;4,949999809
63;Costa Rica;Americas;9870;8,133333206;78,8833313;6,349999905
64;Cuba;Americas;NA;9,649999619;78,40000153;8,850000381
65;Dominica;Americas;7800,399902;7,699999809;77,15000153;6,25
66;Dominican Republic;Americas;7071,200195;6,949999809;72,58332825;7,75
67;Ecuador;Americas;7170;7,433333397;75,09999847;8,649999619
68;El Salvador;Americas;6005,600098;7,099999905;71,43333435;3,5
69;Grenada;Americas;7938,799805;8,600000381;75,3666687;8,299999237
70;Guatemala;Americas;4245,600098;3,849999905;70,31666565;3,349999905
71;Guyana;Americas;2731;7,75;68,53333282;7,449999809
72;Haiti;Americas;1031,199951;4,666666508;60,8833313;0,699999988
73;Honduras;Americas;3472,399902;6,199999809;72,09999847;4
74;Jamaica;Americas;7115;9,333333015;72,21666718;15,19999981
75;Mexico;Americas;12979,40039;8,166666985;76,16666412;15,14999962
76;Nicaragua;Americas;2421,199951;5,449999809;72,94999695;2,849999905
77;Panama;Americas;10682,40039;9,199999809;75,53333282;7
78;Paraguay;Americas;4104,600098;7,283333302;71,78333282;2,400000095
79;Peru;Americas;7198;8,449999809;73,18333435;5,050000191
80;Saint Kitts/Nevis;Americas;13702,59961;8,399999619;72,31666565;10,05000019
81;Saint Lucia;Americas;8970;8,300000191;73,81666565;8,550000191
82;St Vincent/Grenadines;Americas;8063,600098;8,600000381;71,59999847;6,050000191
83;Suriname;Americas;6441,25;7,199999809;69,55000305;19,45000076
84;Trinidad/Tobago;Americas;22696,40039;9,033332825;69,31666565;89,25
85;United States;Americas;42895;12,4333334;77,98332977;70,55000305
86;Uruguay;Americas;10842,59961;8,166666985;76,34999847;7,099999905
87;Venezuela;Americas;10999;7,050000191;73,69999695;22
88;Afghanistan;Asia;938,4000244;2,950000048;47,40000153;0,100000001
89;Armenia;Asia;4879,399902;10,80000019;73,68333435;5,300000191
90;Azerbaijan;Asia;6945;8,600000381;69,90000153;15,39999962
91;Bahrain;Asia;30088;9,216667175;74,59999847;102,6499939
92;Bangladesh;Asia;1177,800049;4,483333588;67,80000305;1
93;Bhutan;Asia;4072,399902;2,299999952;65,84999847;2,25
94;Brunei Darussalam;Asia;48002;8,483333588;77,53333282;57,30000305
95;Cambodia;Asia;1658,800049;5,733333111;61,43333435;1,049999952
96;China;Asia;5175,399902;7,316666603;72,68333435;16,29999924
97;Cyprus;Asia;25403,19922;9,366666794;78,98332977;33,34999847
98;Georgia;Asia;4157,200195;12,10000038;73,1333313;4,25
99;Hong Kong, China;Asia;38669,80078;9,716666222;81,69999695;20,75
100;India;Asia;2647,800049;4,183333397;64,19999695;4,699999809
101;Indonesia;Asia;3518,399902;5,550000191;67,96666718;5,350000381
102;Iran;Asia;10064,59961;6,699999809;72,03333282;23,70000076
103;Iraq;Asia;3052;5,416666985;68,09999847;11,75
104;Israel;Asia;24804,80078;11,89999962;80,7333374;36,40000153
105;Japan;Asia;30778;11,41666698;82,7666626;37,19999695
106;Jordan;Asia;4782,200195;8,316666603;72,93333435;13,70000076
107;Kazakhstan;Asia;9881,599609;10,26666641;65,8833313;44,5
108;Kuwait;Asia;44598,66797;6,033333302;74,16666412;118,1999969
109;Kyrgyzstan;Asia;1901,800049;9,233333588;66,8833313;3,900000095
110;Lao;Asia;1856,199951;4,400000095;65,8833313;0,899999976
111;Lebanon;Asia;10388;7,900000095;72;14,94999981
112;Malaysia;Asia;12530,40039;9,233333588;73,41666412;26,29999924
113;Maldives;Asia;4773,200195;5,416666508;75,51667023;9,5
114;Mongolia;Asia;2990,399902;8,266666412;67,18333435;12,89999962
115;Myanmar;Asia;NA;3,75;63,71666718;0,800000012
116;Nepal;Asia;996,5999756;2,950000048;67,19999695;0,400000006
117;North Korea;Asia;NA;NA;68,56666565;13,05000019
118;Oman;Asia;21051;5,5;72,96666718;52,79999924
119;Pakistan;Asia;2301,199951;4,699999809;64,6166687;3,199999809
120;Palestinian Territory;Asia;NA;8;72,19999695;2,75
121;Philippines;Asia;3118,199951;8,733333588;67,91666412;3,099999905
122;Qatar;Asia;74906;7,150000095;77,83333588;210,6499939
123;Saudi Arabia;Asia;21381,40039;7,516666412;73,1333313;57,45000076
124;Singapore;Asia;47373,80078;8,483333588;80,55000305;48,75
125;South Korea;Asia;24539,59961;11,35000038;79,78333282;36,29999924
126;Sri Lanka;Asia;3975,600098;8,066666603;74,40000153;2,25
127;Syria;Asia;4131,799805;5,699999809;75,33333588;12,89999962
128;Tajikistan;Asia;1650,599976;9,916666031;66,34999847;3,349999905
129;Thailand;Asia;7170,200195;6,233333588;73,58333588;15,80000019
130;Timor-Leste;Asia;701,4000244;2,799999952;60,84999847;0,600000024
131;Turkey;Asia;11529,40039;6,266666412;72,96666718;12,94999981
132;Turkmenistan;Asia;5639,799805;9,899999619;64,6166687;32,34999847
133;United Arab Emirates;Asia;51992,60156;8,833333015;75,93333435;120,8499985
134;Uzbekistan;Asia;2295,600098;10;67,55000305;15,60000038
135;Viet Nam;Asia;2429,800049;5,233333588;74,40000153;4,449999809
136;Yemen;Asia;2213,800049;2,150000095;63,91666412;3,599999905
137;Albania;Europe;6832,600098;10,28333282;76,40000153;5,150000095
138;Andorra;Europe;NA;10,39999962;80,5166626;NA
139;Austria;Europe;34838,39844;10,36666679;80,18333435;31,90000153
140;Belarus;Europe;10391,7998;9,300000191;69,46666718;25
141;Belgium;Europe;32868,80078;10,73333359;79,56666565;38,15000153
142;Bosnia/Herzegovina;Europe;6932,799805;8,699999809;75,15000153;24,79999924
143;Bulgaria;Europe;10998,2002;10,30000019;72,78333282;22,59999847
144;Croatia;Europe;16403,59961;9,633333206;75,96666718;19,04999924
145;Czech Republic;Europe;22044,59961;12,69999981;76,94999695;41,29999924
146;Denmark;Europe;33687,19922;11,25;78,25;34,05000305
147;Estonia;Europe;17932;11,94999981;73,73332977;48,84999847
148;Finland;Europe;32096,40039;10,1833334;79,30000305;42,40000153
149;France;Europe;30162,19922;10,23333359;80,8833313;23,29999924
150;Germany;Europe;32639,59961;12,19999981;79,80000305;35,70000076
151;Greece;Europe;26118;9,949999809;79,55000305;32,25
152;Hungary;Europe;17476,19922;10,88333321;73,69999695;21,20000076
153;Iceland;Europe;35593,80078;10,14999962;81,33333588;27,15000153
154;Ireland;Europe;38986,80078;11,5;79,59999847;38,54999924
155;Italy;Europe;28042,40039;9,816666603;81,33333588;29,5
156;Latvia;Europe;14491,2002;10,9333334;72,3666687;11,64999962
157;Liechtenstein;Europe;NA;10,30000019;79,19999695;NA
158;Lithuania;Europe;15835,7998;10,80000019;71,6333313;15,14999962
159;Luxembourg;Europe;71141;9,983333588;79,33333588;90,44999695
160;Macedonia;Europe;8312,599609;8,199999809;74,2333374;19,95000076
161;Malta;Europe;21871,19922;9,833333015;78,84999847;23,35000038
162;Moldova;Europe;2553,600098;9,533332825;68,3666687;7,599999905
163;Monaco;Europe;NA;NA;81,7333374;NA
164;Montenegro;Europe;9592,799805;10,60000038;74,1333313;NA
165;Netherlands;Europe;36646,39844;11,30000019;80,06666565;38,5
166;Norway;Europe;48169,39844;12,66666698;80,3833313;39,84999847
167;Poland;Europe;15446,40039;9,816666603;75,55000305;29,85000038
168;Portugal;Europe;21628,40039;7,449999809;78,6333313;21,79999924
169;Romania;Europe;10560,40039;10,28333282;73,1166687;16,20000076
170;Russian Federation;Europe;13424,7998;9,783333778;67,3999939;39,34999847
171;San Marino;Europe;NA;NA;81,44999695;NA
172;Serbia;Europe;9473,200195;9,949999809;74;NA
173;Slovakia;Europe;18552,19922;11,60000038;74,75;25,60000038
174;Slovenia;Europe;25321,19922;10,85000038;78,48332977;27,59999847
175;Spain;Europe;27862,19922;10,03333282;80,56666565;29,75
176;Sweden;Europe;33621,39844;11,69999981;80,8833313;20,75
177;Switzerland;Europe;37105,80078;10,86666679;81,78333282;20,5
178;Ukraine;Europe;6124;11,19999981;67,73332977;25,35000038
179;United Kingdom;Europe;33295,80078;9,066666603;79,55000305;34,09999847
180;Angola;Oceania;4662;4,400000095;49,66666794;2,25
181;Australia;Oceania;33707,19922;11,98333359;81,40000153;66,19999695
182;Fiji;Oceania;4259,600098;10,30000019;68,78333282;7,25
183;Kiribati;Oceania;2294,199951;7,800000191;67,1333313;1,049999952
184;Marshall Is;Oceania;NA;9,800000191;70,8666687;5,650000095
185;Micronesia;Oceania;2906,800049;8,800000191;68,34999847;NA
186;Nauru;Oceania;NA;NA;79,46666718;51,84999847
187;New Zealand;Oceania;25199,59961;12,36666679;80,08333588;26,95000076
188;Palau;Oceania;NA;12,10000038;70,66666412;21,34999847
189;Papua New Guinea;Oceania;1953,800049;4,116666794;61,48333359;2,75
190;Samoa;Oceania;4012,600098;10,30000019;71,53333282;3,099999905
191;Solomon Islands;Oceania;2249,199951;4,5;66,5;1,399999976
192;Tonga;Oceania;4072,199951;10,13333321;71,83333588;4,850000381
193;Tuvalu;Oceania;NA;NA;66,03333282;NA
194;Vanuatu;Oceania;3809,800049;6,699999809;69,96666718;1,5
